epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.031379058957099915
0,4,,0.15855155885219574,,
1,9,,,,0.005937292240560055
1,9,,0.03968914970755577,,
2,14,,,,0.008860571309924126
2,14,,0.021696679294109344,,
3,19,,,,0.006751404609531164
3,19,,0.010502485558390617,,
4,24,,,,0.0032528601586818695
4,24,,0.012169520370662212,,
5,29,,,,0.004342485219240189
5,29,,0.006728256121277809,,
6,34,,,,0.003018387593328953
6,34,,0.0062099639326334,,
7,39,,,,0.0028989380225539207
7,39,,0.005295236129313707,,
8,44,,,,0.002754736691713333
8,44,,0.00407303124666214,,
9,49,,,0.0058268285356462,
9,49,,,,0.002443167380988598
9,49,,0.003661982249468565,,
10,50,,,,0.002443167380988598
10,50,0.002429904881864786,,,
