epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.04208610579371452
0,4,,0.10928478837013245,,
1,9,,,,0.011362793855369091
1,9,,0.03272412344813347,,
2,14,,,,0.006057232152670622
2,14,,0.020847124978899956,,
3,19,,,,0.004278064705431461
3,19,,0.012511366978287697,,
4,24,,,,0.0048268456012010574
4,24,,0.008410357870161533,,
5,29,,,,0.003695565043017268
5,29,,0.007108401972800493,,
6,34,,,,0.003250026609748602
6,34,,0.005905906669795513,,
7,39,,,,0.0026050505694001913
7,39,,0.004634013399481773,,
8,44,,,,0.002717346651479602
8,44,,0.0037518527824431658,,
9,49,,,0.0037953935097903013,
9,49,,,,0.0023163044825196266
9,49,,0.0032519532833248377,,
10,50,,,,0.0023163044825196266
10,50,0.0019293837249279022,,,
