epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.044270679354667664
0,4,,0.1459239274263382,,
1,9,,,,0.006732209585607052
1,9,,0.040211357176303864,,
2,14,,,,0.008015709929168224
2,14,,0.020319022238254547,,
3,19,,,,0.007423638366162777
3,19,,0.012155341915786266,,
4,24,,,,0.0032372474670410156
4,24,,0.008896191604435444,,
5,29,,,,0.0034330280032008886
5,29,,0.00843595340847969,,
6,34,,,,0.0036442470736801624
6,34,,0.006799987517297268,,
7,39,,,,0.003178282408043742
7,39,,0.005347599275410175,,
8,44,,,,0.002569518517702818
8,44,,0.004300237633287907,,
9,49,,,0.004483867436647415,
9,49,,,,0.002459749346598983
9,49,,0.0033767058048397303,,
10,50,,,,0.002459749346598983
10,50,0.00216673593968153,,,
