epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.045457951724529266
0,4,,0.15137332677841187,,
1,9,,,,0.011397356167435646
1,9,,0.03416846692562103,,
2,14,,,,0.006974886171519756
2,14,,0.024225877597928047,,
3,19,,,,0.008970020338892937
3,19,,0.009745636023581028,,
4,24,,,,0.004385614302009344
4,24,,0.010884115472435951,,
5,29,,,,0.003457514336332679
5,29,,0.008638326078653336,,
6,34,,,,0.0033075683750212193
6,34,,0.006506350357085466,,
7,39,,,,0.00328446039929986
7,39,,0.00533634889870882,,
8,44,,,,0.0025883002672344446
8,44,,0.004667356144636869,,
9,49,,,0.005008568987250328,
9,49,,,,0.0024069775827229023
9,49,,0.0035475657787173986,,
10,50,,,,0.0024069775827229023
10,50,0.0021917542908340693,,,
