epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.02638109028339386
0,4,,0.13981539011001587,,
1,9,,,,0.004237731918692589
1,9,,0.03638112545013428,,
2,14,,,,0.008200893178582191
2,14,,0.01804438605904579,,
3,19,,,,0.005879366770386696
3,19,,0.012176702730357647,,
4,24,,,,0.0055640945211052895
4,24,,0.012038731947541237,,
5,29,,,,0.00383502128534019
5,29,,0.008029509335756302,,
6,34,,,,0.002888830378651619
6,34,,0.007333693560212851,,
7,39,,,,0.0027268007397651672
7,39,,0.005446479190140963,,
8,44,,,,0.0026416005566716194
8,44,,0.004057131242007017,,
9,49,,,0.004742774646729231,
9,49,,,,0.0024108400102704763
9,49,,0.0032828322146087885,,
10,50,,,,0.0024108400102704763
10,50,0.00217504077591002,,,
